==============================================================================
  Time (s)    DT (s)  CV  NIT Max Residual    Fluid      Elapsed      Left    
      6.2050  0.15E-02  C  15 P0=0.52E-03     0.13s      55.93m       2.07h   
      6.2067  0.16E-02  C  15 P0=0.46E-03     0.68s      55.94m       2.07h   
      6.2081  0.16E-02  C  15 P0=0.55E-03     0.14s      55.95m       2.07h   
      6.2098  0.16E-02  C  15 P0=0.49E-03     0.64s      55.96m       2.07h   
      6.2114  0.16E-02  C  15 P0=0.56E-03     0.13s      55.96m       2.07h   
      6.2131  0.16E-02  C  15 P0=0.51E-03     0.60s      55.97m       2.07h   
      6.2147  0.16E-02  C  15 P0=0.55E-03     0.13s      55.97m       2.07h   
      6.2165  0.18E-02  C  15 P0=0.50E-03     0.61s      55.98m       2.07h   
      6.2182  0.18E-02  C  15 P0=0.59E-03     0.13s      55.98m       2.07h   
      6.2200  0.18E-02  C  15 P0=0.51E-03     0.59s      55.99m       2.07h   
      6.2218  0.18E-02  C  15 P0=0.57E-03     0.13s      55.99m       2.07h   
      6.2237  0.18E-02  C  15 P0=0.51E-03     0.13s      56.00m       2.07h   
      6.2255  0.18E-02  C  15 P0=0.56E-03     0.13s      56.00m       2.07h   
      6.2275  0.20E-02  C  15 P0=0.51E-03     0.13s      56.00m       2.07h   
      6.2290  0.16E-02  C  16 P0=0.35E-03     0.20s      56.00m       2.06h   
      6.2306  0.16E-02  C  44 V1=0.46E-03     0.32s      56.01m       2.06h   
      6.2323  0.16E-02  C  16 P0=0.33E-03     0.56s      56.02m       2.06h   
      6.2339  0.16E-02  C  15 P0=0.49E-03     0.13s      56.02m       2.06h   
      6.2356  0.16E-02  C  15 P0=0.55E-03     0.13s      56.02m       2.06h   
      6.2374  0.18E-02  C  15 P0=0.49E-03     0.22s      56.03m       2.06h   
      6.2390  0.18E-02  C  15 P0=0.56E-03     0.13s      56.03m       2.06h   
      6.2409  0.18E-02  C  15 P0=0.52E-03     0.13s      56.03m       2.06h   
      6.2427  0.18E-02  C  15 P0=0.57E-03     0.13s      56.03m       2.06h   
      6.2445  0.18E-02  C  22 V1=0.34E-03     0.18s      56.04m       2.06h   
      6.2463  0.18E-02  C  15 P0=0.55E-03     0.13s      56.04m       2.06h   
      6.2484  0.20E-02  C  15 P0=0.50E-03     0.14s      56.04m       2.06h   
      6.2502  0.20E-02  C  16 P0=0.40E-03     0.14s      56.04m       2.06h   
      6.2522  0.20E-02  C  16 P0=0.41E-03     0.14s      56.05m       2.05h   
      6.2543  0.20E-02  C  16 P0=0.44E-03     0.14s      56.05m       2.05h   
      6.2563  0.20E-02  C  30 V1=0.30E-03     0.26s      56.05m       2.05h   
      6.2581  0.18E-02  C  15 P0=0.53E-03     0.47s      56.06m       2.05h   
      6.2599  0.18E-02  C  15 P0=0.51E-03     0.14s      56.06m       2.05h   
      6.2618  0.18E-02  C  15 P0=0.50E-03     0.14s      56.06m       2.05h   
      6.2636  0.18E-02  C  15 P0=0.51E-03     0.15s      56.07m       2.05h   
      6.2654  0.18E-02  C  15 P0=0.52E-03     0.15s      56.07m       2.05h   
      6.2675  0.20E-02  C  15 P0=0.51E-03     0.15s      56.07m       2.05h   
      6.2693  0.20E-02  C  16 P0=0.39E-03     0.14s      56.07m       2.05h   
      6.2709  0.16E-02  C  16 P0=0.32E-03     0.22s      56.08m       2.05h   
      6.2726  0.16E-02  C  15 P0=0.51E-03     0.15s      56.08m       2.05h   
      6.2742  0.16E-02  C  15 P0=0.48E-03     0.16s      56.08m       2.05h   
      6.2759  0.16E-02  C  15 P0=0.50E-03     0.16s      56.09m       2.04h   
      6.2775  0.16E-02  C  15 P0=0.48E-03     0.16s      56.09m       2.04h   
      6.2793  0.18E-02  C  15 P0=0.48E-03     0.16s      56.09m       2.04h   
      6.2810  0.18E-02  C  15 P0=0.50E-03     0.16s      56.09m       2.04h   
      6.2828  0.18E-02  C  15 P0=0.51E-03     0.15s      56.10m       2.04h   
      6.2846  0.18E-02  C  15 P0=0.50E-03     0.15s      56.10m       2.04h   
      6.2865  0.18E-02  C  15 P0=0.50E-03     0.15s      56.10m       2.04h   
      6.2883  0.18E-02  C  15 P0=0.52E-03     0.16s      56.10m       2.04h   
      6.2903  0.20E-02  C  15 P0=0.50E-03     0.15s      56.11m       2.04h   
      6.2922  0.20E-02  C  15 P0=0.56E-03     0.13s      56.11m       2.04h   
      6.2942  0.20E-02  C  15 P0=0.56E-03     0.13s      56.11m       2.04h   
      6.2962  0.20E-02  C  15 P0=0.56E-03     0.13s      56.11m       2.04h   
      6.2982  0.20E-02  C  16 P0=0.35E-03     0.14s      56.12m       2.04h   
      6.3003  0.20E-02  C  16 P0=0.37E-03     0.14s      56.12m       2.03h   
      6.3025  0.23E-02  C  16 P0=0.40E-03     0.14s      56.12m       2.03h   
      6.3043  0.20E-02  C  16 P0=0.49E-03     0.24s      56.12m       2.03h   
      6.3064  0.20E-02  C  16 P0=0.50E-03     0.14s      56.13m       2.03h   
      6.3084  0.20E-02  C  18 P0=0.50E-03     0.16s      56.13m       2.03h   
      6.3102  0.18E-02  C  15 P0=0.49E-03     0.30s      56.13m       2.03h   
      6.3121  0.18E-02  C  15 P0=0.49E-03     0.13s      56.14m       2.03h   
      6.3139  0.18E-02  C  15 P0=0.50E-03     0.13s      56.14m       2.03h   
      6.3157  0.18E-02  C  15 P0=0.49E-03     0.13s      56.14m       2.03h   
      6.3175  0.18E-02  C  15 P0=0.50E-03     0.13s      56.14m       2.03h   
      6.3196  0.20E-02  C  15 P0=0.49E-03     0.14s      56.15m       2.03h   
      6.3212  0.18E-02  C  15 P0=0.50E-03     0.27s      56.15m       2.03h   
      6.3230  0.18E-02  C  15 P0=0.49E-03     0.13s      56.15m       2.03h   
      6.3249  0.18E-02  C  15 P0=0.50E-03     0.14s      56.15m       2.02h   
      6.3267  0.18E-02  C  15 P0=0.50E-03     0.14s      56.16m       2.02h   
      6.3285  0.18E-02  C  15 P0=0.50E-03     0.14s      56.16m       2.02h   
      6.3305  0.20E-02  C  15 P0=0.51E-03     0.14s      56.16m       2.02h   
      6.3322  0.18E-02  C  15 P0=0.51E-03     0.28s      56.17m       2.02h   
      6.3340  0.18E-02  C  15 P0=0.51E-03     0.14s      56.17m       2.02h   
      6.3358  0.18E-02  C  15 P0=0.50E-03     0.14s      56.17m       2.02h   
      6.3376  0.18E-02  C  15 P0=0.51E-03     0.14s      56.17m       2.02h   
      6.3395  0.18E-02  C  15 P0=0.52E-03     0.14s      56.18m       2.02h   
      6.3415  0.20E-02  C  15 P0=0.53E-03     0.14s      56.18m       2.02h   
      6.3431  0.18E-02  C  15 P0=0.58E-03     0.27s      56.18m       2.02h   
      6.3450  0.18E-02  C  15 P0=0.57E-03     0.15s      56.18m       2.02h   
      6.3468  0.18E-02  C  16 P0=0.42E-03     0.15s      56.19m       2.02h   
      6.3486  0.18E-02  C  17 P0=0.43E-03     0.16s      56.19m       2.01h   
      6.3503  0.16E-02  C  15 P0=0.49E-03     0.32s      56.19m       2.01h   
      6.3519  0.16E-02  C  15 P0=0.50E-03     0.14s      56.20m       2.01h   
      6.3535  0.16E-02  C  15 P0=0.48E-03     0.14s      56.20m       2.01h   
      6.3552  0.16E-02  C  15 P0=0.49E-03     0.13s      56.20m       2.01h   
      6.3568  0.16E-02  C  15 P0=0.51E-03     0.15s      56.20m       2.01h   
      6.3587  0.18E-02  C  15 P0=0.52E-03     0.15s      56.21m       2.01h   
      6.3601  0.16E-02  C  15 P0=0.53E-03     0.30s      56.21m       2.01h   
      6.3618  0.16E-02  C  15 P0=0.52E-03     0.15s      56.21m       2.01h   
      6.3634  0.16E-02  C  15 P0=0.52E-03     0.15s      56.22m       2.01h   
      6.3651  0.16E-02  C  15 P0=0.54E-03     0.15s      56.22m       2.01h   
      6.3667  0.16E-02  C  15 P0=0.56E-03     0.16s      56.22m       2.01h   
      6.3685  0.18E-02  C  15 P0=0.56E-03     0.16s      56.22m       2.01h   
      6.3700  0.16E-02  C  15 P0=0.56E-03     0.30s      56.23m       2.01h   
      6.3716  0.16E-02  C  15 P0=0.54E-03     0.16s      56.23m       2.01h   
      6.3733  0.16E-02  C  15 P0=0.55E-03     0.16s      56.23m       2.00h   
      6.3749  0.16E-02  C  15 P0=0.58E-03     0.15s      56.24m       2.00h   
      6.3766  0.16E-02  C  15 P0=0.60E-03     0.16s      56.24m       2.00h   
      6.3784  0.18E-02  C  16 P0=0.44E-03     0.16s      56.24m       2.00h   
      6.3799  0.16E-02  C  16 P0=0.49E-03     0.27s      56.25m       2.00h   
      6.3813  0.15E-02  C  15 P0=0.47E-03     0.33s      56.25m       2.00h   
      6.3828  0.15E-02  C  15 P0=0.48E-03     0.15s      56.26m       2.00h   
      6.3843  0.15E-02  C  15 P0=0.48E-03     0.16s      56.26m       2.00h   
      6.3858  0.15E-02  C  15 P0=0.47E-03     0.15s      56.26m       2.00h   
      6.3873  0.15E-02  C  15 P0=0.48E-03     0.13s      56.26m       2.00h   
      6.3889  0.16E-02  C  15 P0=0.49E-03     0.13s      56.26m       2.00h   
      6.3902  0.15E-02  C  15 P0=0.49E-03     0.27s      56.27m       2.00h   
      6.3917  0.15E-02  C  15 P0=0.48E-03     0.13s      56.27m       2.00h   
      6.3932  0.15E-02  C  15 P0=0.49E-03     0.13s      56.27m       2.00h   
      6.3947  0.15E-02  C  15 P0=0.48E-03     0.13s      56.28m       2.00h   
      6.3962  0.15E-02  C  15 P0=0.48E-03     0.13s      56.28m       2.00h   
      6.3978  0.16E-02  C  15 P0=0.48E-03     0.13s      56.28m       2.00h   
      6.3991  0.15E-02  C  15 P0=0.48E-03     0.27s      56.28m       1.99h   
      6.4006  0.15E-02  C  15 P0=0.48E-03     0.13s      56.29m       1.99h   
      6.4021  0.15E-02  C  15 P0=0.48E-03     0.13s      56.29m       1.99h   
      6.4036  0.15E-02  C  15 P0=0.50E-03     0.13s      56.29m       1.99h   
      6.4050  0.15E-02  C  15 P0=0.51E-03     0.13s      56.29m       1.99h   
      6.4067  0.16E-02  C  15 P0=0.51E-03     0.13s      56.30m       1.99h   
      6.4080  0.15E-02  C  15 P0=0.53E-03     0.27s      56.30m       1.99h   
      6.4095  0.15E-02  C  15 P0=0.52E-03     0.13s      56.30m       1.99h   
      6.4110  0.15E-02  C  15 P0=0.54E-03     0.14s      56.30m       1.99h   
      6.4124  0.15E-02  C  15 P0=0.57E-03     0.13s      56.31m       1.99h   
      6.4139  0.15E-02  C  16 P0=0.45E-03     0.14s      56.31m       1.99h   
      6.4156  0.16E-02  C  16 P0=0.44E-03     0.13s      56.31m       1.99h   
      6.4167  0.13E-02  C  15 P0=0.46E-03     0.37s      56.32m       1.99h   
      6.4181  0.13E-02  C  15 P0=0.45E-03     0.13s      56.32m       1.99h   
      6.4194  0.13E-02  C  15 P0=0.45E-03     0.13s      56.32m       1.99h   
      6.4207  0.13E-02  C  15 P0=0.46E-03     0.13s      56.32m       1.99h   
      6.4221  0.13E-02  C  15 P0=0.49E-03     0.13s      56.33m       1.99h   
      6.4235  0.15E-02  C  15 P0=0.51E-03     0.13s      56.33m       1.98h   
      6.4247  0.13E-02  C  16 P0=0.53E-03     0.24s      56.33m       1.98h   
      6.4261  0.13E-02  C  17 P0=0.60E-03     0.14s      56.33m       1.98h   
      6.4273  0.12E-02  C  15 P0=0.43E-03     0.27s      56.34m       1.98h   
      6.4285  0.12E-02  C  15 P0=0.41E-03     0.13s      56.34m       1.98h   
      6.4297  0.12E-02  C  15 P0=0.42E-03     0.13s      56.34m       1.98h   
      6.4309  0.12E-02  C  15 P0=0.42E-03     0.13s      56.35m       1.98h   
      6.4321  0.12E-02  C  15 P0=0.43E-03     0.13s      56.35m       1.98h   
      6.4334  0.13E-02  C  15 P0=0.43E-03     0.13s      56.35m       1.98h   
      6.4345  0.12E-02  C  15 P0=0.43E-03     0.27s      56.35m       1.98h   
      6.4357  0.12E-02  C  15 P0=0.42E-03     0.13s      56.36m       1.98h   
      6.4369  0.12E-02  C  15 P0=0.42E-03     0.13s      56.36m       1.98h   
      6.4381  0.12E-02  C  15 P0=0.43E-03     0.13s      56.36m       1.98h   
      6.4393  0.12E-02  C  15 P0=0.44E-03     0.13s      56.36m       1.98h   
      6.4406  0.13E-02  C  15 P0=0.43E-03     0.13s      56.37m       1.98h   
      6.4417  0.12E-02  C  15 P0=0.43E-03     0.28s      56.37m       1.98h   
      6.4429  0.12E-02  C  15 P0=0.42E-03     0.13s      56.37m       1.98h   
      6.4441  0.12E-02  C  15 P0=0.43E-03     0.13s      56.37m       1.98h   
      6.4452  0.12E-02  C  15 P0=0.42E-03     0.13s      56.38m       1.98h   
      6.4464  0.12E-02  C  15 P0=0.45E-03     0.13s      56.38m       1.98h   
      6.4478  0.13E-02  C  15 P0=0.42E-03     0.13s      56.38m       1.98h   
      6.4488  0.12E-02  C  15 P0=0.50E-03     0.27s      56.39m       1.98h   
      6.4500  0.12E-02  C  15 P0=0.42E-03     0.13s      56.39m       1.97h   
      6.4512  0.12E-02  C  15 P0=0.61E-03     0.13s      56.39m       1.97h   
      6.4524  0.12E-02  C  15 P0=0.44E-03     0.13s      56.39m       1.97h   
      6.4535  0.11E-02  C  14 P0=0.65E-03     0.30s      56.40m       1.97h   
      6.4546  0.11E-02  C  14 P0=0.64E-03     0.12s      56.40m       1.97h   
      6.4557  0.11E-02  C  14 P0=0.64E-03     0.12s      56.40m       1.97h   
      6.4568  0.11E-02  C  14 P0=0.64E-03     0.12s      56.40m       1.97h   
      6.4578  0.11E-02  C  14 P0=0.64E-03     0.12s      56.40m       1.97h   
      6.4590  0.12E-02  C  14 P0=0.64E-03     0.12s      56.41m       1.97h   
      6.4601  0.12E-02  C  15 P0=0.50E-03     0.13s      56.41m       1.97h   
      6.4613  0.12E-02  C  15 P0=0.50E-03     0.13s      56.41m       1.97h   
      6.4625  0.12E-02  C  15 P0=0.59E-03     0.13s      56.41m       1.97h   
      6.4637  0.12E-02  C  15 P0=0.51E-03     0.13s      56.42m       1.97h   
      6.4648  0.11E-02  C  15 P0=0.39E-03     0.27s      56.42m       1.97h   
      6.4659  0.11E-02  C  14 P0=0.64E-03     0.13s      56.42m       1.97h   
      6.4670  0.11E-02  C  14 P0=0.64E-03     0.12s      56.42m       1.97h   
      6.4680  0.11E-02  C  14 P0=0.65E-03     0.12s      56.43m       1.97h   
      6.4691  0.11E-02  C  14 P0=0.64E-03     0.12s      56.43m       1.97h   
      6.4703  0.12E-02  C  14 P0=0.64E-03     0.12s      56.43m       1.97h   
      6.4714  0.12E-02  C  15 P0=0.57E-03     0.13s      56.43m       1.97h   
      6.4725  0.11E-02  C  14 P0=0.65E-03     0.28s      56.44m       1.97h   
      6.4736  0.11E-02  C  14 P0=0.66E-03     0.12s      56.44m       1.97h   
      6.4746  0.11E-02  C  14 P0=0.65E-03     0.13s      56.44m       1.97h   
      6.4757  0.11E-02  C  15 P0=0.40E-03     0.13s      56.44m       1.97h   
      6.4768  0.11E-02  C  15 P0=0.39E-03     0.13s      56.45m       1.96h   
      6.4780  0.12E-02  C  15 P0=0.40E-03     0.13s      56.45m       1.96h   
      6.4789  0.11E-02  C  15 P0=0.41E-03     0.27s      56.45m       1.96h   
      6.4800  0.11E-02  C  14 P0=0.65E-03     0.13s      56.45m       1.96h   
      6.4811  0.11E-02  C  15 P0=0.42E-03     0.13s      56.46m       1.96h   
      6.4822  0.11E-02  C  15 P0=0.40E-03     0.13s      56.46m       1.96h   
      6.4833  0.11E-02  C  15 P0=0.47E-03     0.13s      56.46m       1.96h   
      6.4845  0.12E-02  C  15 P0=0.46E-03     0.13s      56.46m       1.96h   
      6.4854  0.11E-02  C  15 P0=0.58E-03     0.24s      56.47m       1.96h   
      6.4865  0.11E-02  C  15 P0=0.60E-03     0.13s      56.47m       1.96h   
      6.4875  0.97E-03  C  14 P0=0.60E-03     0.27s      56.47m       1.96h   
      6.4884  0.97E-03  C  14 P0=0.60E-03     0.13s      56.48m       1.96h   
      6.4894  0.97E-03  C  14 P0=0.59E-03     0.13s      56.48m       1.96h   
      6.4904  0.97E-03  C  14 P0=0.59E-03     0.13s      56.48m       1.96h   
      6.4914  0.97E-03  C  14 P0=0.59E-03     0.13s      56.48m       1.96h   
      6.4924  0.11E-02  C  14 P0=0.59E-03     0.13s      56.49m       1.96h   
      6.4934  0.11E-02  C  15 P0=0.44E-03     0.14s      56.49m       1.96h   
      6.4945  0.11E-02  C  15 P0=0.47E-03     0.13s      56.49m       1.96h   
      6.4956  0.11E-02  C  15 P0=0.46E-03     0.13s      56.49m       1.96h   
      6.4966  0.11E-02  C  15 P0=0.49E-03     0.13s      56.49m       1.96h   
      6.4977  0.11E-02  C  16 P0=0.51E-03     0.14s      56.50m       1.96h   
      6.4987  0.97E-03  C  14 P0=0.60E-03     0.27s      56.50m       1.96h   
      6.4997  0.97E-03  C  14 P0=0.60E-03     0.13s      56.50m       1.96h   
      6.5006  0.97E-03  C  14 P0=0.59E-03     0.13s      56.51m       1.96h   
      6.5016  0.97E-03  C  14 P0=0.58E-03     0.13s      56.51m       1.96h   
      6.5026  0.97E-03  C  14 P0=0.58E-03     0.12s      56.51m       1.96h   
      6.5037  0.11E-02  C  14 P0=0.58E-03     0.13s      56.51m       1.96h   
      6.5046  0.11E-02  C  15 P0=0.43E-03     0.15s      56.51m       1.95h   
      6.5057  0.11E-02  C  15 P0=0.39E-03     0.13s      56.52m       1.95h   
      6.5068  0.11E-02  C  14 P0=0.64E-03     0.13s      56.52m       1.95h   
      6.5079  0.11E-02  C  14 P0=0.65E-03     0.12s      56.52m       1.95h   
      6.5090  0.11E-02  C  14 P0=0.64E-03     0.12s      56.52m       1.95h   
      6.5102  0.12E-02  C  14 P0=0.65E-03     0.12s      56.52m       1.95h   
      6.5111  0.11E-02  C  14 P0=0.65E-03     0.27s      56.53m       1.95h   
      6.5122  0.11E-02  C  14 P0=0.65E-03     0.13s      56.53m       1.95h   
      6.5133  0.11E-02  C  14 P0=0.64E-03     0.12s      56.53m       1.95h   
      6.5143  0.11E-02  C  14 P0=0.65E-03     0.13s      56.54m       1.95h   
      6.5154  0.11E-02  C  14 P0=0.65E-03     0.12s      56.54m       1.95h   
      6.5166  0.12E-02  C  14 P0=0.65E-03     0.12s      56.54m       1.95h   
      6.5176  0.11E-02  C  14 P0=0.65E-03     0.26s      56.54m       1.95h   
      6.5187  0.11E-02  C  14 P0=0.64E-03     0.13s      56.55m       1.95h   
      6.5197  0.11E-02  C  14 P0=0.64E-03     0.19s      56.55m       1.95h   
      6.5208  0.11E-02  C  14 P0=0.64E-03     0.12s      56.55m       1.95h   
      6.5219  0.11E-02  C  14 P0=0.64E-03     0.12s      56.55m       1.95h   
      6.5231  0.12E-02  C  14 P0=0.64E-03     0.12s      56.56m       1.95h   
      6.5242  0.12E-02  C  15 P0=0.63E-03     0.13s      56.56m       1.95h   
      6.5253  0.11E-02  C  14 P0=0.65E-03     0.27s      56.56m       1.95h   
      6.5263  0.11E-02  C  15 P0=0.43E-03     0.13s      56.56m       1.95h   
      6.5274  0.11E-02  C  15 P0=0.41E-03     0.13s      56.57m       1.95h   
      6.5285  0.11E-02  C  15 P0=0.40E-03     0.13s      56.57m       1.95h   
      6.5296  0.11E-02  C  15 P0=0.42E-03     0.13s      56.57m       1.95h   
      6.5308  0.12E-02  C  14 P0=0.64E-03     0.13s      56.57m       1.95h   
      6.5317  0.11E-02  C  15 P0=0.45E-03     0.27s      56.58m       1.94h   
      6.5328  0.11E-02  C  15 P0=0.44E-03     0.13s      56.58m       1.94h   
      6.5339  0.11E-02  C  15 P0=0.46E-03     0.13s      56.58m       1.94h   
      6.5350  0.11E-02  C  15 P0=0.50E-03     0.13s      56.58m       1.94h   
      6.5361  0.11E-02  C  15 P0=0.58E-03     0.13s      56.59m       1.94h   
      6.5370  0.97E-03  C  14 P0=0.60E-03     0.30s      56.59m       1.94h   
      6.5380  0.97E-03  C  14 P0=0.59E-03     0.13s      56.59m       1.94h   
      6.5390  0.97E-03  C  14 P0=0.59E-03     0.13s      56.60m       1.94h   
      6.5399  0.97E-03  C  14 P0=0.58E-03     0.13s      56.60m       1.94h   
      6.5409  0.97E-03  C  14 P0=0.58E-03     0.12s      56.60m       1.94h   
      6.5420  0.11E-02  C  14 P0=0.58E-03     0.12s      56.60m       1.94h   
      6.5430  0.11E-02  C  14 P0=0.66E-03     0.13s      56.60m       1.94h   
      6.5440  0.11E-02  C  14 P0=0.67E-03     0.12s      56.61m       1.94h   
      6.5451  0.11E-02  C  15 P0=0.58E-03     0.13s      56.61m       1.94h   
      6.5462  0.11E-02  C  15 P0=0.49E-03     0.14s      56.61m       1.94h   
      6.5472  0.97E-03  C  14 P0=0.60E-03     0.27s      56.61m       1.94h   
      6.5481  0.97E-03  C  14 P0=0.60E-03     0.13s      56.62m       1.94h   
      6.5491  0.97E-03  C  14 P0=0.59E-03     0.13s      56.62m       1.94h   
      6.5501  0.97E-03  C  14 P0=0.58E-03     0.12s      56.62m       1.94h   
      6.5511  0.97E-03  C  14 P0=0.58E-03     0.13s      56.62m       1.94h   
      6.5521  0.11E-02  C  14 P0=0.58E-03     0.13s      56.63m       1.94h   
      6.5531  0.11E-02  C  15 P0=0.47E-03     0.13s      56.63m       1.94h   
      6.5542  0.11E-02  C  15 P0=0.49E-03     0.15s      56.63m       1.94h   
      6.5552  0.97E-03  C  14 P0=0.59E-03     0.27s      56.63m       1.94h   
      6.5561  0.97E-03  C  14 P0=0.59E-03     0.12s      56.64m       1.94h   
      6.5571  0.97E-03  C  14 P0=0.58E-03     0.13s      56.64m       1.94h   
      6.5581  0.97E-03  C  14 P0=0.58E-03     0.12s      56.64m       1.94h   
      6.5590  0.97E-03  C  14 P0=0.58E-03     0.13s      56.64m       1.93h   
      6.5601  0.11E-02  C  14 P0=0.58E-03     0.13s      56.64m       1.93h   
      6.5610  0.97E-03  C  14 P0=0.59E-03     0.30s      56.65m       1.93h   
      6.5620  0.97E-03  C  14 P0=0.57E-03     0.12s      56.65m       1.93h   
      6.5629  0.97E-03  C  14 P0=0.57E-03     0.12s      56.65m       1.93h   
      6.5639  0.97E-03  C  14 P0=0.57E-03     0.13s      56.66m       1.93h   
      6.5649  0.97E-03  C  14 P0=0.57E-03     0.12s      56.66m       1.93h   
      6.5660  0.11E-02  C  14 P0=0.57E-03     0.13s      56.66m       1.93h   
      6.5669  0.11E-02  C  15 P0=0.48E-03     0.13s      56.66m       1.93h   
      6.5680  0.11E-02  C  15 P0=0.56E-03     0.13s      56.66m       1.93h   
      6.5691  0.11E-02  C  16 P0=0.58E-03     0.14s      56.67m       1.93h   
      6.5701  0.97E-03  C  14 P0=0.60E-03     0.26s      56.67m       1.93h   
      6.5710  0.97E-03  C  14 P0=0.62E-03     0.12s      56.67m       1.93h   
      6.5720  0.97E-03  C  14 P0=0.59E-03     0.12s      56.68m       1.93h   
      6.5730  0.97E-03  C  14 P0=0.58E-03     0.12s      56.68m       1.93h   
      6.5739  0.97E-03  C  14 P0=0.57E-03     0.12s      56.68m       1.93h   
      6.5750  0.11E-02  C  14 P0=0.57E-03     0.13s      56.68m       1.93h   
      6.5760  0.11E-02  C  15 P0=0.50E-03     0.13s      56.68m       1.93h   
      6.5771  0.11E-02  C  15 P0=0.51E-03     0.13s      56.69m       1.93h   
      6.5780  0.97E-03  C  14 P0=0.59E-03     0.26s      56.69m       1.93h   
      6.5790  0.97E-03  C  14 P0=0.58E-03     0.12s      56.69m       1.93h   
      6.5800  0.97E-03  C  14 P0=0.58E-03     0.12s      56.69m       1.93h   
      6.5809  0.87E-03  C  16 P0=0.38E-03     0.26s      56.70m       1.93h   
      6.5817  0.87E-03  C  18 P0=0.32E-03     0.15s      56.70m       1.93h   
      6.5826  0.87E-03  C  14 P0=0.52E-03     0.12s      56.70m       1.93h   
      6.5835  0.87E-03  C  14 P0=0.52E-03     0.12s      56.71m       1.93h   
      6.5844  0.87E-03  C  14 P0=0.52E-03     0.12s      56.71m       1.93h   
      6.5853  0.97E-03  C  14 P0=0.52E-03     0.12s      56.71m       1.93h   
      6.5862  0.97E-03  C  14 P0=0.57E-03     0.13s      56.71m       1.93h   
      6.5872  0.97E-03  C  14 P0=0.63E-03     0.12s      56.71m       1.93h   
      6.5881  0.97E-03  C  14 P0=0.57E-03     0.12s      56.72m       1.92h   
      6.5891  0.97E-03  C  14 P0=0.61E-03     0.13s      56.72m       1.92h   
      6.5901  0.97E-03  C  14 P0=0.60E-03     0.12s      56.72m       1.92h   
      6.5912  0.11E-02  C  14 P0=0.65E-03     0.12s      56.72m       1.92h   
      6.5920  0.97E-03  C  15 P0=0.46E-03     0.23s      56.73m       1.92h   
      6.5927  0.71E-03  C  16 V0=0.35E-03     0.21s      56.73m       1.92h   
      6.5934  0.71E-03  C  14 P0=0.44E-03     0.12s      56.73m       1.92h   
      6.5942  0.71E-03  C  14 P0=0.42E-03     0.12s      56.73m       1.92h   
      6.5949  0.71E-03  C  14 P0=0.44E-03     0.12s      56.74m       1.92h   
      6.5956  0.71E-03  C  14 P0=0.44E-03     0.12s      56.74m       1.92h   
      6.5964  0.79E-03  C  14 P0=0.44E-03     0.12s      56.74m       1.92h   
      6.5971  0.79E-03  C  14 P0=0.48E-03     0.13s      56.74m       1.92h   
      6.5979  0.79E-03  C  14 P0=0.48E-03     0.12s      56.74m       1.92h   
      6.5986  0.79E-03  C  14 P0=0.48E-03     0.12s      56.75m       1.92h   
      6.5994  0.79E-03  C  14 P0=0.48E-03     0.12s      56.75m       1.92h   
      6.6002  0.79E-03  C  14 P0=0.47E-03     0.12s      56.75m       1.92h   
      6.6011  0.87E-03  C  14 P0=0.47E-03     0.12s      56.75m       1.92h   
      6.6019  0.87E-03  C  14 P0=0.52E-03     0.12s      56.75m       1.92h   
      6.6027  0.87E-03  C  14 P0=0.52E-03     0.12s      56.76m       1.92h   
      6.6036  0.87E-03  C  14 P0=0.52E-03     0.12s      56.76m       1.92h   
      6.6045  0.87E-03  C  14 P0=0.52E-03     0.12s      56.76m       1.92h   
      6.6053  0.79E-03  C  15 P0=0.34E-03     0.46s      56.77m       1.92h   
      6.6061  0.79E-03  C  14 P0=0.47E-03     0.12s      56.77m       1.92h   
      6.6069  0.79E-03  C  14 P0=0.47E-03     0.12s      56.77m       1.92h   
      6.6076  0.79E-03  C  14 P0=0.47E-03     0.12s      56.77m       1.92h   
      6.6084  0.79E-03  C  14 P0=0.47E-03     0.12s      56.78m       1.92h   
      6.6093  0.87E-03  C  14 P0=0.47E-03     0.12s      56.78m       1.92h   
      6.6101  0.87E-03  C  14 P0=0.52E-03     0.12s      56.78m       1.92h   
      6.6110  0.87E-03  C  14 P0=0.52E-03     0.12s      56.78m       1.92h   
      6.6118  0.87E-03  C  14 P0=0.52E-03     0.12s      56.78m       1.92h   
      6.6127  0.87E-03  C  14 P0=0.52E-03     0.12s      56.79m       1.92h   
      6.6136  0.87E-03  C  14 P0=0.52E-03     0.12s      56.79m       1.92h   
      6.6146  0.97E-03  C  14 P0=0.52E-03     0.12s      56.79m       1.92h   
      6.6154  0.97E-03  C  14 P0=0.57E-03     0.12s      56.79m       1.92h   
      6.6164  0.97E-03  C  14 P0=0.57E-03     0.12s      56.79m       1.92h   
      6.6174  0.97E-03  C  14 P0=0.57E-03     0.12s      56.80m       1.91h   
      6.6183  0.97E-03  C  14 P0=0.57E-03     0.12s      56.80m       1.91h   
      6.6193  0.97E-03  C  14 P0=0.57E-03     0.12s      56.80m       1.91h   
      6.6204  0.11E-02  C  14 P0=0.57E-03     0.12s      56.80m       1.91h   
      6.6214  0.11E-02  C  15 P0=0.50E-03     0.13s      56.80m       1.91h   
      6.6223  0.97E-03  C  14 P0=0.57E-03     0.26s      56.81m       1.91h   
