==============================================================================
  Time (s)    DT (s)  CV  NIT Max Residual    Fluid      Elapsed      Left    
      0.0289  0.71E-03  C  12 V1=0.31E-03     0.08s       6.26s       1.23h   
      0.0296  0.71E-03  C  12 V1=0.31E-03     0.08s       6.34s       1.22h   
      0.0303  0.71E-03  C  12 V1=0.31E-03     0.08s       6.42s       1.21h   
      0.0310  0.71E-03  C  12 V1=0.30E-03     0.08s       6.50s       1.19h   
      0.0318  0.79E-03  C  12 V1=0.30E-03     0.08s       6.59s       1.18h   
      0.0325  0.79E-03  C  13 V1=0.22E-03     0.09s       6.68s       1.17h   
      0.0333  0.79E-03  C  13 V1=0.22E-03     0.09s       6.77s       1.16h   
      0.0340  0.79E-03  C  13 V1=0.21E-03     0.09s       6.85s       1.14h   
      0.0348  0.79E-03  C  13 V1=0.21E-03     0.09s       6.94s       1.13h   
      0.0356  0.79E-03  C  13 V1=0.21E-03     0.09s       7.03s       1.12h   
      0.0365  0.87E-03  C  13 V1=0.21E-03     0.09s       7.12s       1.11h   
      0.0373  0.87E-03  C  13 V1=0.25E-03     0.09s       7.21s       1.10h   
      0.0382  0.87E-03  C  13 V1=0.25E-03     0.09s       7.30s       1.09h   
      0.0390  0.87E-03  C  13 U1=0.25E-03     0.09s       7.39s       1.07h   
      0.0399  0.87E-03  C  13 U1=0.25E-03     0.09s       7.48s       1.06h   
      0.0408  0.87E-03  C  13 U1=0.26E-03     0.09s       7.57s       1.05h   
      0.0418  0.97E-03  C  13 U1=0.26E-03     0.09s       7.66s       1.04h   
      0.0426  0.97E-03  C  13 U1=0.34E-03     0.09s       7.75s       1.03h   
      0.0436  0.97E-03  C  13 U1=0.35E-03     0.09s       7.84s       1.02h   
      0.0446  0.97E-03  C  13 U1=0.36E-03     0.09s       7.94s       1.01h   
      0.0455  0.97E-03  C  13 U1=0.37E-03     0.09s       8.03s      59.90m   
      0.0465  0.97E-03  C  13 U1=0.38E-03     0.09s       8.12s      59.28m   
      0.0476  0.11E-02  C  13 U1=0.38E-03     0.09s       8.21s      58.69m   
      0.0486  0.11E-02  C  15 P0=0.28E-03     0.10s       8.31s      58.21m   
      0.0495  0.97E-03  C  14 U1=0.25E-03     0.41s       8.73s      59.76m   
      0.0505  0.97E-03  C  14 U1=0.23E-03     0.10s       8.82s      59.22m   
      0.0515  0.97E-03  C  14 U1=0.23E-03     0.10s       8.92s      58.71m   
      0.0524  0.97E-03  C  14 U1=0.24E-03     0.10s       9.02s      58.24m   
      0.0534  0.97E-03  C  39 P0=0.73E-03     0.25s       9.27s      58.77m   
      0.0543  0.87E-03  C  15 P0=0.39E-03     0.20s       9.47s      58.92m   
      0.0552  0.87E-03  C  17 P0=0.66E-03     0.11s       9.58s      58.66m   
      0.0560  0.87E-03  C  19 P0=0.70E-03     0.12s       9.70s      58.47m   
      0.0569  0.87E-03  C  16 P0=0.46E-03     0.11s       9.81s      58.19m   
      0.0577  0.79E-03  C  14 P0=0.34E-03     0.41s      10.22s      59.68m   
      0.0585  0.79E-03  C  16 P0=0.54E-03     0.11s      10.33s      59.48m   
      0.0593  0.79E-03  C  21 P0=0.60E-03     0.14s      10.46s      59.45m   
      0.0601  0.79E-03  C  27 P0=0.73E-03     0.17s      10.64s      59.63m   
      0.0609  0.79E-03  C  34 P0=0.74E-03     0.22s      10.85s       1.00h   
      0.0617  0.87E-03  C  22 P0=0.73E-03     0.15s      11.00s       1.00h   
      0.0623  0.71E-03  C  13 V1=0.23E-03     0.50s      11.50s       1.03h   
      0.0631  0.71E-03  C  14 P0=0.44E-03     0.10s      11.60s       1.03h   
      0.0638  0.71E-03  C  19 P0=0.62E-03     0.13s      11.73s       1.03h   
      0.0645  0.71E-03  C  26 P0=0.70E-03     0.17s      11.90s       1.03h   
      0.0652  0.71E-03  C  23 P0=0.72E-03     0.15s      12.06s       1.04h   
      0.0660  0.79E-03  C  19 P0=0.67E-03     0.13s      12.18s       1.04h   
      0.0665  0.64E-03  C  13 P0=0.21E-03     0.44s      12.62s       1.06h   
      0.0672  0.64E-03  C  12 P0=0.33E-03     0.08s      12.71s       1.06h   
      0.0678  0.64E-03  C  14 P0=0.46E-03     0.09s      12.80s       1.06h   
